title,serie,rating,status,year
Hellboy,,,?,
Spiderman,,,?,
X-men,,,?,
Batman & Deadman : Death and Glory,,3.5,done,
Batman & Green Arrow : The Poison Tomorrow,,3.5,done,
Bruce Wayne : Fugitive,,3.5,done,
Bruce Wayne : Murderer,,4,done,
Daredevil - The Man without Fear,,4,done,
League of Extraordinary Gentleman ,,3.5,done,
Ronin,,3.5,done,1983
The Watchmen,,3.5,done,
V for Vendetta,,4,done,
Arkham Asylum - A serious House,Batman,3.5,done,
Arkham Asylum - Living Hell,Batman,3.5,done,
Arkham Asylum - Madness,Batman,3.5,done,
Arkham Asylum - Tales of Madness,Batman,3,done,
Arkham City,Batman,3.5,done,
Arkham City (Digital Exclusive),Batman,3.5,done,
Arkham City - End game,Batman,4,done,
Arkham Reborn,Batman,3.5,done,
Bane of the Demon,Batman,3.5,done,
Batman & Danger Girl,Batman,3.5,done,2005
Batman & Tarzan : Claws of the Cat-Woman,Batman,3.5,done,
Batman - Batgirl 01 (1997),Batman,3.5,done,
Batman - Batgirl 01 (1998),Batman,3.5,done,
Batman - The Man Who Laughs,Batman,3.5,done,
Batman - Year One,Batman,4.5,done,
Batman Family (2002),Batman,4,done,
Batman Huntress & Spoiler - Blunt Trauma,Batman,3.5,done,1998
Batman and the Mad Monk,Batman,3,done,
Batman and the Monster Men,Batman,3.5,done,
Batman/Hellboy/Starman,Batman,3.5,done,
Battle for the Cowl,Batman,3.5,done,2009
Bruce - The road home,Batman,3.5,done,
Catwoman - Follow the Money,Batman,3.5,done,
Catwoman - Tail of the Gun,Batman,4,done,
Catwoman - When in Rome,Batman,3.5,done,
Deathblow,Batman,4,done,
Huntress - Cry for blood,Batman,3.5,done,
The Dark Knight returns,Batman,4.5,done,
The Killing Joke,Batman,4.5,done,
The Long Halloween,Batman,4.5,done,
All Star Superman,Superman,4.5,done,
Birthright,Superman,4.5,done,
Brainiac,Superman,4.5,done,
Earth One Vol. 1 and 2,Superman,3.5,done,
Escape from Bizarro World,Superman,3.5,done,
For All Seasons,Superman,4.5,done,
For The Man Who Has Everything,Superman,4.5,done,
Kingdom Come,Superman,4.5,done,
Last Son,Superman,3.5,done,
Peace on Earth,Superman,3.5,done,
Red Son,Superman,3.5,done,
Secret Identity,Superman,4.5,done,
Superman and the Legion of Super Heroes,Superman,3.5,done,
"What's So Funny About Truth, Justice and the American Way?",Superman,3.5,done,
Whatever Happened to the Man of Tomorrow?,Superman,4.5,done,
Ultimate Adventures,Ultimate Marvel,3.5,done,
Batman & Robin : first arc (1-17),Batman,,done,
Batman - Year Two,Batman,,done,
Batman : City of owls (8-12),Batman,,done,
Batman : The court of owls (1-7),Batman,,done,
Detective comic,Batman,,done,
Hush,Batman,,done,
Incorporated : The Demon Star (1-13),Batman,,done,
